DEBUG:root:New device instance created -192.168.1.140:11883- | client_sadas 
DEBUG:root:New device instance created -192.168.1.140:11883- | client_dasda 
DEBUG:root:Connected to MQTT Broker (192.168.1.140):11883 | client_dasda 
DEBUG:root:Send {'serialNumber': 'dasda', 'sensorType': 'asdas', 'sensorModel': 'sada', 'accessToken': '', 'key': 'temp', 'initValue': 1, 'key2': 'hum', 'initValue2': 0, 'key3': '-test-', 'initValue3': 0, 'protocol': 'mqtt', 'secure': '', 'thread': True, 'interval': 1, 'temp': 1} to topic /sensor/data | client_dasda 
DEBUG:root:Send {'serialNumber': 'dasda', 'sensorType': 'asdas', 'sensorModel': 'sada', 'accessToken': '', 'key': 'temp', 'initValue': 1, 'key2': 'hum', 'initValue2': 0, 'key3': '-test-', 'initValue3': 0, 'protocol': 'mqtt', 'secure': '', 'thread': True, 'interval': 1, 'temp': 1} to topic /sensor/data | client_dasda 
DEBUG:root:Send {'serialNumber': 'dasda', 'sensorType': 'asdas', 'sensorModel': 'sada', 'accessToken': '', 'key': 'temp', 'initValue': 1, 'key2': 'hum', 'initValue2': 0, 'key3': '-test-', 'initValue3': 0, 'protocol': 'mqtt', 'secure': '', 'thread': True, 'interval': 1, 'temp': 1} to topic /sensor/data | client_dasda 
DEBUG:root:Send {'serialNumber': 'dasda', 'sensorType': 'asdas', 'sensorModel': 'sada', 'accessToken': '', 'key': 'temp', 'initValue': 1, 'key2': 'hum', 'initValue2': 0, 'key3': '-test-', 'initValue3': 0, 'protocol': 'mqtt', 'secure': '', 'thread': True, 'interval': 1, 'temp': 1} to topic /sensor/data | client_dasda 
DEBUG:root:Send {'serialNumber': 'dasda', 'sensorType': 'asdas', 'sensorModel': 'sada', 'accessToken': '', 'key': 'temp', 'initValue': 1, 'key2': 'hum', 'initValue2': 0, 'key3': '-test-', 'initValue3': 0, 'protocol': 'mqtt', 'secure': '', 'thread': True, 'interval': 1, 'temp': 1} to topic /sensor/data | client_dasda 
DEBUG:root:Send {'serialNumber': 'dasda', 'sensorType': 'asdas', 'sensorModel': 'sada', 'accessToken': '', 'key': 'temp', 'initValue': 1, 'key2': 'hum', 'initValue2': 0, 'key3': '-test-', 'initValue3': 0, 'protocol': 'mqtt', 'secure': '', 'thread': True, 'interval': 1, 'temp': 1} to topic /sensor/data | client_dasda 
DEBUG:root:Send {'serialNumber': 'dasda', 'sensorType': 'asdas', 'sensorModel': 'sada', 'accessToken': '', 'key': 'temp', 'initValue': 1, 'key2': 'hum', 'initValue2': 0, 'key3': '-test-', 'initValue3': 0, 'protocol': 'mqtt', 'secure': '', 'thread': True, 'interval': 1, 'temp': 1} to topic /sensor/data | client_dasda 
DEBUG:root:Send {'serialNumber': 'dasda', 'sensorType': 'asdas', 'sensorModel': 'sada', 'accessToken': '', 'key': 'temp', 'initValue': 1, 'key2': 'hum', 'initValue2': 0, 'key3': '-test-', 'initValue3': 0, 'protocol': 'mqtt', 'secure': '', 'thread': True, 'interval': 1, 'temp': 1} to topic /sensor/data | client_dasda 
